001	003	005	008	010 \\ $a	010 \\ $b	010 \\ $d	015 \\ $2	015 \\ $a	016 77 $2	016 77 $a	016 77 $z	017 \\ $a	017 \\ $b	019 11 $a	019 11 $a [3]	019 99 $a [2]	019 aa $a	019 uu $a [4]	019 yy $a	020 \\ $a	020 \\ $a [2]	020 \\ $b	020 \\ $c	020 \\ $c [2]	024 77 $2	024 77 $a	035 \\ $9	035 \\ $a	039 00 $a	039 \\ $a	039 \\ $o	040 \\ $a	040 \\ $b	040 \\ $c	040 \\ $d	040 \\ $e	041 11 $a	041 11 $h	042 \\ $a	043 \\ $a	050 00 $a	050 00 $b	073 \\ $a	080 \\ $a	080 \\ $a [2]	080 \\ $a [3]	082 00 $2	082 00 $a	100 11 $0	100 11 $a	100 11 $d	100 \\ $a	101 00 $a	101 11 $a	101 11 $c	102 \\ $a	105 \\ $a	106 \\ $a	110 11 $4	110 11 $a	110 11 $b	110 11 $e	110 22 $a	181 \\ $2 [2]	181 \\ $6	181 \\ $6 [2]	181 \\ $a	181 \\ $b	181 \\ $c [2]	182 \\ $2 [2]	182 \\ $6	182 \\ $6 [2]	182 \\ $a	182 \\ $c [2]	200 11 $a	200 11 $b	200 11 $e	200 11 $f	200 11 $g	210 \\ $a	210 \\ $b	210 \\ $c	210 \\ $d	210 \\ $e	210 \\ $g	215 \\ $a	215 \\ $c	215 \\ $d	225 || $a	225 || $v	240 11 $a	243 11 $a	245 00 $a	245 00 $b	245 00 $c	245 00 $h	245 11 $a	245 11 $b	245 11 $c	245 11 $h	250 \\ $a	260 \\ $a	260 \\ $b	260 \\ $c	300 \\ $a	300 \\ $b	300 \\ $c	300 \\ $e	336 \\ $2	336 \\ $a	337 \\ $2	337 \\ $a	338 \\ $2	338 \\ $a	410 \\ $0	410 \\ $t	410 \\ $v	410 \\ $x	440 \\ $a	454 \\ $t	490 00 $a	490 00 $v	490 11 $a	490 11 $v	500 \\ $5	500 \\ $a	500 \\ $a [2]	500 \\ $a [3]	504 \\ $a	595 \\ $a	606 \\ $2	606 \\ $2 [2]	606 \\ $2 [3]	606 \\ $3	606 \\ $3 [2]	606 \\ $3 [3]	606 \\ $a	606 \\ $a [2]	606 \\ $a [3]	606 \\ $x	606 \\ $x [2]	606 \\ $x [3]	606 \\ $y	608 \\ $2	608 \\ $3	608 \\ $a	610 22 $a	610 22 $x	650 \\ $2	650 \\ $2 [2]	650 \\ $a	650 \\ $a [2]	650 \\ $a [3]	650 \\ $v	650 \\ $v [2]	650 \\ $x	650 \\ $x [2]	650 \\ $z	650 \\ $z [2]	651 \\ $a	651 \\ $v	651 \\ $x	653 00 $a	653 \\ $a	655 \\ $2	655 \\ $a	676 \\ $a	676 \\ $a [2]	676 \\ $v	676 \\ $v [2]	686 \\ $2	686 \\ $a	700 11 $4	700 11 $a	700 11 $a [2]	700 11 $a [3]	700 11 $d [3]	700 11 $e	700 \\ $3	700 \\ $4	700 \\ $a	700 \\ $b	700 \\ $o	702 \\ $3	702 \\ $3 [2]	702 \\ $3 [3]	702 \\ $4	702 \\ $4 [2]	702 \\ $4 [3]	702 \\ $a	702 \\ $a [2]	702 \\ $a [3]	702 \\ $b	702 \\ $b [2]	702 \\ $b [3]	702 \\ $f	702 \\ $f [2]	702 \\ $o	702 \\ $o [2]	702 \\ $o [3]	710 11 $a	710 11 $b	710 11 $t	710 22 $a	710 22 $a [2]	710 22 $a [3]	710 22 $a [4]	710 || $3	710 || $4	710 || $a	710 || $b	801 \\ $2	801 \\ $a	801 \\ $b	801 \\ $c	801 \\ $g	801 \\ $h	830 \\ $a	830 \\ $v	852 44 $a	852 44 $a [2]	852 44 $b	852 44 $b [2]	852 44 $j	852 44 $j [2]	886 22 $2	886 22 $2 [2]	886 22 $a	886 22 $a [2]	886 22 $b	886 22 $b [2]	886 22 $c	886 22 $h	886 22 $x	886 22 $z	901 \\ $a	906 \\ $a	906 \\ $b	906 \\ $c	906 \\ $d	906 \\ $e	906 \\ $f	906 \\ $g	916 \\ $a	922 \\ $a	926 \\ $a	926 \\ $a [2]	926 \\ $a [3]	926 \\ $a [4]	926 \\ $a [5]	926 \\ $b	926 \\ $b [2]	926 \\ $b [3]	926 \\ $b [4]	926 \\ $b [5]	926 \\ $c	926 \\ $c [2]	926 \\ $c [3]	926 \\ $c [4]	926 \\ $c [5]	926 \\ $d	926 \\ $d [2]	926 \\ $d [3]	926 \\ $d [4]	926 \\ $d [5]	926 \\ $f	926 \\ $f [2]	926 \\ $f [3]	926 \\ $f [4]	926 \\ $f [5]	930 \\ $5	930 \\ $5 [2]	930 \\ $5 [3]	930 \\ $5 [4]	930 \\ $a	930 \\ $a [2]	930 \\ $a [3]	930 \\ $a [4]	930 \\ $b	930 \\ $b [2]	930 \\ $b [3]	930 \\ $b [4]	930 \\ $c	930 \\ $c [2]	930 \\ $c [3]	930 \\ $c [4]	930 \\ $d	930 \\ $d [2]	930 \\ $d [3]	930 \\ $d [4]	955 \\ $a	956 \\ $a	957 \\ $a	966 \\ $l	980 \\ $.	980 \\ $. [2]	980 \\ $. [3]	980 \\ $. [4]	980 \\ $9	980 \\ $9 [2]	980 \\ $9 [3]	980 \\ $9 [4]	980 \\ $a	980 \\ $a [2]	980 \\ $a [3]	980 \\ $a [4]	980 \\ $b	980 \\ $b [2]	980 \\ $b [3]	980 \\ $b [4]	980 \\ $c	980 \\ $c [2]	980 \\ $c [3]	980 \\ $c [4]	980 \\ $d	980 \\ $j	980 \\ $j [2]	980 \\ $j [3]	980 \\ $j [4]	991 \\ $b	991 \\ $h	991 \\ $i	991 \\ $t	991 \\ $w	994 \\ $a	LDR
FRBNF402193820000006	http://catalogue.bnf.fr/ark:/12148/cb402193826			2-85088-227-5	rel.	59 EUR														FR		705717.0																					9782850882272.0									20060830d2006    m  y0frey50      ba		fre	ger	FR	||||z   00|y|	r						rdacontent	1.0	2.0	i 	xxxe  	txt	rdamedia	1.0	2.0	n	n	L'or	Texte imprimé	mythes et objets	Hans-Gert Bachmann	[traduit de l'allemand par Aude Virey-Wallon et Nathalie Rouanet-Herlt]	[Paris]		Citadelles & Mazenod	DL 2006	impr. en Italie		1 vol. (278 p.)	nombreuses ill. en noir et en coul., jaquette ill. en coul.	31 cm																	Bibliogr. p. 269-271. Glossaire. Index															Mythos Gold : 6000 Jahre Kulturgeschichte											rameau	rameau	rameau	11934444.0	11989609.0	13505483.0	Or	Or	Or	Histoire	Dans l'art	Aspect symbolique																									739.22	669.220 9	23.0	23.0	Cadre de classement de la Bibliographie nationale française	730.0							12974358.0	70.0	Bachmann	Hans-Gert	ISNI0000000117763547	15505958.0	12111174.0	15505955.0	205.0	730.0	730.0	Völlnagel	Virey-Wallon	Rouanet-Herlt	Jörg	Aude	Nathalie	1967-....		ISNI0000000115682321	ISNI0000000079777605	ISNI0000000002725145												intermrc	FR	FR-751131015	20060830.0	AFNOR	FRBNF402193820000006																																																						FR-751131010:40219382001001	FR-751131010:40219382002001	FR-751021002:40219382003001		2006-217285	739 BACH o	40015-BAC-4-(2006)		759999999.0	759999999.0	759999999.0		Tolbiac - Rez de Jardin - Littérature et art - Magasin	Tolbiac - Haut de Jardin - Littérature et art - Salle F - Libre accès	Richelieu - Monnaies et médailles - Magasin		O	N	N																																					02057cam a2200421   450 
010576936		20091122150200.0	880412s1986    it ac   |c    000 | ita d											oc17916863						8820207109 :			L30000									DLC		DLC	Uk					e-it---	NK7352.A1						19.0	739.27/074/0521																																													Gioielli :	moda, magia, sentimento /	a cura di Maria Teresa Balboni Brizza ... [et al.].							Milano :	Mazzotta,	1986.	93 p. :	ill. (some col.), ports. ;	24 cm.		rdacontent	text	rdamedia	unmediated	rdacarrier	volume												"""Milano, Museo Poldi Pezzoli, 26 settembre-2 novembre 1986""--P. [1]"			Bibliography: p. 91-93.																						Jewelry					Exhibitions.		Italy																Balboni Brizza, Maria Teresa.																														Museo Poldi-Pezzoli.																British Library		HMNTS		YV.1990.b.1786		ukmarc	blmarc	Balboni Brizza, Maria Teresa	87110772.0	10.0	0.0		Maria Teresa Balboni	See	700.0																																																										870430p																																	01104 am a2200313ua 4500
009780940		20200417181416.0	040420|1988    |||    ||     000 ||eng  														G01164809			0887401244												Uk		Uk																Egger, Gerhart.																																											Generations of jewelry :	from the 15th through the 20th century.									Schiffer Publishing,	1988.					rdacontent	text	rdamedia	unmediated	rdacarrier	volume																																																																																																										British Library		DSC		f89/0248																																																																						ACQUIS																																00539cam a22001933u 4500
010668524		20161129104800.0	871021s1985    enkac  ||    o000 ||eng  				bnb	GB8750910							112904173.0	112904173.0		G11386357	b8750910	0112904173 :			£5.95						1961.0			Uk		Uk						e------	NK7342						19.0	739.2/7		Bury, Shirley.																																															An introduction to sentimental jewellery /		Shirley Bury.			London :	H.M.S.O.,	1985.	48p. :	ill(some col.), ports. ;	26cm.		rdacontent	text	rdamedia	unmediated	rdacarrier	volume									V & A introductions to the decorative arts			Ill on lining papers.			Bibliography: p48.																						Jewelry	Sentimentalism in art.				History.		Europe						1600-1900																																								Victoria and Albert Museum.														V & A introductions to the decorative arts.		British Library	British Library	HMNTS	DSC	YV.1987.b.1883	GP/86/VA	ukmarc		Victoria and Albert Museum		10.0		Victoria and Albert Museum		See	710.0																																																																																											01321 am a2200409ua 4500
011400231		20091122182800.0	900214s1989    enkac   |     001 | eng  				bnb	GB8957928							1851490752.0	1851490752.0			b8957928	1851490752 :			£29.95						2077.0			Uk		Uk							NK7306						20.0	739.2709		Bennett, David,	1952-																																														Understanding jewellery /		David Bennett & Daniela Mascetti.			Woodbridge :	Antique Collectors' Club,	c1989.	386p. :	ill(some col.), ports.(some col.) ;	28cm.		rdacontent	text	rdamedia	unmediated	rdacarrier	volume												Bibliography: p377. - Includes index.																									Jewelry	Jewelry				History.	Catalogs.							history										Mascetti, Daniela.																																														British Library		HMNTS		YV.1990.b.413																				700=NOTNAL																																																																																		01040 am a2200337ua 4500
1485704		19940702085557.4	871005s1986    it a          000 0 ita  	   87180324 																8885282768 :			L30000				(DLC)   87180324					DLC		DLC	DLC					e-it---	TS723	.G67 1986																					Gori & Zucchi.																																		Sessanta anni di arte orafa /		Gori & Zucchi.			Montepulciano, SI :	Editori del Grifo,	c1986.	189 p. :	ill. (some col.) ;	24 cm.																			"""Mostra storico antologica ... 1926-1986 ... Arezzo, Sottochiesa di San Francesco, 18 aprile-4 maggio 1986""--P. opp. t.p."																					Gori & Zucchi	History.			Goldwork	Goldsmiths				History.	History.	Arezzo	Arezzo	Arezzo (Italy)		History.																																																																											7.0	cbc	orignew	4	ncip	19.0	y-gencatlg		ap																																														ep64 11-18-87; fg11 3-14-88																													c-GenColl	TS723	.G67 1986	Copy 1	BOOKS		01024cam a2200289 a 4500
ES-MaREB00753066-3	ES-MaREB	20060306142423.0	060306s2005    esp                 spa d									Z 3106-2005								84-934190-1-X												BR-VA												553.411(091)	669.21(091)	739.1(091)																																															Oro del mundo / 		editora jefa, Elena Ananieva ; editor, Andrey Zhuravlev.						1ª ed.	Zaragoza : 	Katia, 	2005.	183 p. : 	il. col. ; 	30 cm.														Maravillas del mundo ; 	1.0																													Oro	Minas de oro	Orfebrería			Historia																		Ananieva, Elena.	Zhuravlev, Andrey																																																																																																																																																							00727nam a2200265 a 4500
bimo0001825467	SpMaBN	20140329020347.7	021126s2002    sp |         o||| ||spa  						SpMaBN	bimoBNE20020838818		M 33856-2002	Oficina Depósito Legal Madrid							84-369-3604-3					nipo	NIPO 176-02-168-1		(OCoLC)433431769				SpMaBN	spa	SpMaBN		rdc								903.25(083.824)	904(083.824)	739.2.032(083.824)																																															Torques, belleza y poder	Museo Arqueológico Nacional, septiembre-diciembre, 2002		[Texto impreso] :						[Madrid]	Ministerio de Educación, Cultura y Deporte, Subdirección General de Información y Publicaciones	[2002]	332 p.	il. col. y n., mapas	28 cm																						Bibliografía																				embne		Torques			Exposiciones																																																		Museo Arqueológico Nacional (España)																																										BNMADRID	BNALCALA	BNALCALA			SG_RECOLET	SG_PETANTI	CONSERVACI			9/235826	AHM/707940	DL/1177045			FONDO_MODE	FONDO_MODE	NO_PRESTA			1.0	1.0	1.0																								1 2			852. 40	852. 40	852. 40		MO03921108	MO04315553	MO03909107		SpMaBN	SpMaBN	SpMaBN		BNMADRID	BNALCALA	BNALCALA		SG_RECOLET	SG_PETANTI	CONSERVACI			9/235826	AHM/707940	DL/1177045							MONOMODERN	01540nam a2200349   4500
a5393708	SpMaBN	20211104012957.5	130905s2013    sp     | |||| 001 0 spa  					MON13				M 15061-2013	Oficina Depósito Legal Madrid							978-84-368-2925-9								(OCoLC)853063151				SpMaBN	spa	SpMaBN		rdc								"347.719(460)""2007""(094.5)"	"334.7-022.51(460)""2007""(094.5)"														enj	España	Ministerio de Economía y Hacienda	jurisdicción promulgadora																													Plan general de contabilidad, 2007						Plan general de contabilidad y de PYMES :	Reales Decretos 1514/2007 y 1515/2007, de 16 de noviembre, y adaptación al Real Decreto 1159/2010	prólogo de Leandro Cañibano		7ª ed.	Madrid	Pirámide	D.L. 2013	490 p.		23 cm	2 cuadros de cuentas + 1 CD-ROM	isbdcontent	Texto (visual)	isbdmedia	sin mediación									"Colección ""Economía y empresa"""					Índices	Título del material anejo: Cuadros del PGC; Cuadros del PGC de PYMES																						embne	embne	Contabilidad	Pequeñas y medianas empresas				Derecho y legislación	Derecho y legislación	España	España						tgfbne	Legislación							aui	Cañibano Calvo, Leandro				prologuista																							España	Ministerio de Economía y Hacienda	Plan general de contabilidad de pequeñas y medianas empresas, 2007																																	MON1309										BNALCALA	BNALCALA	BNALCALA	BNALCALA		SG_PETANTI	SG_PETANTI	CONSERVACI	CONSERVACI		12/934310/1 TEXTO	12/934310/2 CD-ROM	DL/2194137/1 TEXTO	DL/2194137/2 CD-ROM		FONDO_MODE	MAT_ESPECI	NO_PRESTA	NO_PRESTA		1.0	1.0	1.0	1.0																							2																																	MONOMODERN	01874nam a2200433 c 4500
a5421289	SpMaBN	20200114011607.3	131029s2013    sp     | |||| 000 0 spa  					MON13				M 25680-2013	Oficina Depósito Legal Madrid							978-84-8356-757-9								(OCoLC)864142565				SpMaBN	spa	SpMaBN		rdc								658.016.1					XX5340586	Claver, Pablo																																															Yo también puedo emprender		Pablo Claver ; prólogo de Núria Vilanova		1ª ed.	Madrid	LID	2013	204 p.		24 cm		isbdcontent	Texto (visual)	isbdmedia	sin mediación									Viva																												embne	embne	Emprendedores	Nuevas empresas																																																																																				MON1311										BNALCALA	BNALCALA				SG_PETANTI	CONSERVACI				12/946580	DL/2212011				FONDO_MODE	NO_PRESTA				1.0	1.0																									2																																	MONOMODERN	00960nam a2200325 c 4500
